User,Tweet,Date
SARwatchMED,RT @alarm_phone: RCC #Malta failed to cooperate with civil SAR organisations in such a way as to ensure that the lifesaving operations were…,2022-10-19 10:51:03+00:00
SARwatchMED,"RT @alarm_phone: On 26 September 2022, 23 people were sent to #Egypt on the instructions of the Rescue Coordination Centre (RCC) of #Malta,…",2022-10-19 10:50:59+00:00
SARwatchMED,"RT @alarm_phone: MALTA VIOLATES THE PRINCIPLE OF NON-REFOULEMENT

Joint statement by Alarm Phone @MSF_Sea, @RescueMed and @seawatch_intl…",2022-10-19 10:50:53+00:00
SARwatchMED,"RT @SeaWatchItaly: Visto il blocco arbitrario della #SeaWatch3, al momento non abbiamo nessuna nave in navigazione. Voliamo con #Seabird e…",2022-10-19 10:50:50+00:00
SARwatchMED,RT @HenkvanHoutum: Powerful speech of the outstanding @Tineke_Strik on the appalling violations of human rights and EU’s own rule of law by…,2022-10-19 10:50:46+00:00
SARwatchMED,"RT @MSF_Sea: ""European rescue coordination centres must fulfil their legal responsibilities and ensure the immediate rescue of people in di…",2022-10-19 10:49:16+00:00
SARwatchMED,"RT @MSF_Sea: ""We demand an end to these serious human rights violations in the central Mediterranean and along the EU’s external borders, c…",2022-10-19 10:49:10+00:00
SARwatchMED,"RT @MSF_Sea: 📢""As organisations engaging in SAR activities at sea, we denounce the forcible transfer of  23 people to Egypt and call for co…",2022-10-19 10:46:20+00:00
SARwatchMED,RT @DiEM_25: Check out @ForensicArchi's groundbreaking report on illegal pushbacks in the Mediterranean Sea by Frontex and the Greek Coast…,2022-10-19 10:46:12+00:00
SARwatchMED,"RT @DiEM_25: Yesterday the European Parliament voted on whether to discharge Frontex’s 2020 budget.

The result — a big fat 'no' — is a sma…",2022-10-19 10:46:07+00:00
SARwatchMED,"RT @FenixAid: Although some MEPs continue to refuse to recognise the violations by 🇬🇷 Coast Guard and Frontex, the @Europarl_EN has send of…",2022-10-19 10:46:04+00:00
SARwatchMED,"RT @MSF_Sea: ❗️ Most of the survivors flee war-torn countries, prosecutions, extreme poverty, human rights violations, and have limited acc…",2022-10-19 10:45:59+00:00
SARwatchMED,RT @MSF_Sea: 📢 The #GeoBarents is currently heading north and handing over active search to @soshumanity_en. After facing harrowing journey…,2022-10-19 10:45:57+00:00
SARwatchMED,"RT @SetentaQuatro: A União Europeia gasta milhares de milhões de euros todos os anos em muros, vedações, tecnologia de ponta e acordos inte…",2022-10-19 10:45:51+00:00
SARwatchMED,RT @EPCanarias: Rescatan cuatro embarcaciones con 167 #migrantes en aguas próximas a #Canarias en las últimas horas #salvamentomarítimo #fr…,2022-10-19 10:45:48+00:00
