User,Tweet,Date
InfoMigrants,"Turkey has become a transit country for many migrants who want to reach Europe. Broke, desperate and undocumented, many of them face abuse and exploitation by employers who take advantage of their status.
This happened to Hasan Farooq from Pakistan. This is his story. https://t.co/jTMQlR0UNr",2022-10-15 13:50:00+00:00
InfoMigrants,"The gang was allegedly headed by a woman known as ""the betrothed's magician"" and was operating in two southern cities, Naples and Caserta.
https://t.co/a1N94eBIRA",2022-10-15 12:02:00+00:00
InfoMigrants,"📷 Around 100 migrants, among them 30 minors, arrived on a sailboat in the port of Corigliano Rossano in southern Italy on Thursday (October 13), escorted by Guardia di Finanza patrol boats.

2 local news websites reported that the body of a 17-year-old was found on the boat. https://t.co/a5KTHYK9qd",2022-10-14 15:56:00+00:00
InfoMigrants,"Human rights organization @Amnesty claims that Latvian authorities arbitrarily detained, beat and coerced migrants into 'voluntary' returns.

But Latvian politicians, including Foreign Minister @EdgarsRinkevics, have rejected the allegations. https://t.co/EObdI1TaPe",2022-10-14 15:13:00+00:00
InfoMigrants,"RT @dwnews: After videos surfaced of protesters in Germany berating Ukrainian refugees, the mayor of Leipzig decried the images from the sc…",2022-10-14 14:46:22+00:00
InfoMigrants,"Rescuers on board the #GeoBarents said sections of the rubber boat were already deflating when they arrived.

""People's lives were at stake,"" @MSF_Sea said on Twitter. https://t.co/uaLSSVHCz4",2022-10-14 14:16:23+00:00
InfoMigrants,"RT @Refugees: Making friends. 
Learning new skills. 
Dreaming big. 

Football is bringing young refugees in Libya together. https://t.co/kc…",2022-10-14 13:40:04+00:00
InfoMigrants,"""I have learnt so much from the women we have helped, most of all their generosity.""

Sister Chiara, who lives at a Franciscan nunnery in Sicily, has become a kind of mother figure for the migrants she helps. https://t.co/ki2OWkWgRc",2022-10-14 12:56:37+00:00
InfoMigrants,"RT @dw_freedom: Germany will take in more refugees in 2022 than in 2015/2016 — the majority of them from Ukraine. 
 
Cities and municipalit…",2022-10-14 12:04:27+00:00
InfoMigrants,"""The hospitality will certainly last for the Ukrainian refugees but not for the others.""

InfoMigrants' @SonyaCiesnik talked to @CNRS research fellow Catherine Wihtol de Wenden about 🇪🇺's migration policy and 'environmental refugees'.
https://t.co/kmQ4XwwGJC",2022-10-14 11:21:00+00:00
InfoMigrants,"The open letter addressed to mayor @RobertoDipiazza and other officials of the northern Italian city of #Trieste was signed by over 570 citizens.

They want asylum seekers who live on the city's streets to be able to go to emergency shelters. https://t.co/TIjklQQKnw",2022-10-14 10:15:53+00:00
InfoMigrants,"RT @UNmigration: “We know football brings a lot of joy. After the game, we talk about experiences we went through to help each other,” says…",2022-10-14 09:47:51+00:00
InfoMigrants,"#Frontex top managers committed ""serious misconduct &amp; other irregularities"" in covering up #pushback incidents, not investigating them or handling them correctly.

That's according to a report by 🇪🇺 anti-fraud office published by @fragdenstaat, media orgs. https://t.co/mu6cP0MQXU",2022-10-14 08:52:27+00:00
InfoMigrants,Bailey Begum from 🇧🇩 works as a street food vendor in Athens. She has been living in Greece for 4 years without documents. Now she's hoping for a change: the Greek government announced it wants to regularize thousands of undocumented 🇧🇩 migrants already working in Greece. https://t.co/o6weoIKvIW,2022-10-14 07:10:00+00:00
InfoMigrants,"Many migrants who arrived in Italy via Libya have have suffered some form of violence or witnessed it - sometimes extreme forms of torture and sexual abuse. 

It's for this reason that MSF and the Italian health authorities set up this clinic in Palermo 👇🏾
https://t.co/giw5IvWKXm",2022-10-13 15:34:00+00:00
InfoMigrants,"Within a few years of his arrival in 🇮🇹, Aboubakar Soumahoro became an activist helping undocumented migrants, focusing on the exploitation of farm workers. 

Now, at age 42, he won a seat in the lower house of parliament for the Green Left Alliance party.
https://t.co/JBfO9E80bW",2022-10-13 14:51:00+00:00
InfoMigrants,"A 35-year-old Eritrean man wanted by Italian authorities on human trafficking charges has been arrested in Ethiopia and extradited to Italy. 

The man is alleged to have headed a transnational migrant trafficking association.

https://t.co/xWiEMCHZJN",2022-10-13 13:55:00+00:00
InfoMigrants,"Two Bangladeshi citizens have been arrested in Italy for allegedly holding prisoners and torturing fellow Bangladeshis in Libya to force them into paying the money agreed at the start of their journey in Bangladesh.

The pair had recently arrived in Italy.
https://t.co/wK5w01DklC",2022-10-13 12:55:00+00:00
InfoMigrants,"Blessing is originally from Nigeria. She arrived in Italy four years ago and was identified as having been a victim of human trafficking. 

She found help at a social cooperative in Sicily, Proxima, that offers ""protection, help and integration projects"".

https://t.co/3ZJhDoteEi",2022-10-13 11:57:00+00:00
InfoMigrants,"The bodies of three migrants have been recovered at sea some 40 miles south of Trapani, Sicily. Coast guards said they are continuing to search for missing passengers. 

https://t.co/VT4qoFB49T",2022-10-13 10:43:00+00:00
InfoMigrants,"The mothers and sisters of missing Tunisian migrants have been protesting in the coastal town of Zarzis, demanding that authorities investigate their disappearance.

A boat carrying Tunisian migrants went missing off the coast over two weeks ago.
https://t.co/r9aHnYYNf0",2022-10-13 09:13:12+00:00
InfoMigrants,"Another deportation flight carrying 21 persons took off from Germany to flood-ridden Pakistan on Tuesday.

German asylum authorities do not consider the floods as a sufficient reason for granting asylum due to ""internal flight alternatives"".

https://t.co/d9QlW7oGk0",2022-10-12 15:53:00+00:00
InfoMigrants,"RT @UNmigration: “The mental health of migrants is everyone’s business.” 
On #MentalHealthDay, @Health_IOM’s Guglielmo Schinina on improvin…",2022-10-12 15:24:27+00:00
InfoMigrants,"RT @InfoMigrants: Rwanda has crafted an image for itself as the country of reception preferred by refugees from all over the world.

In con…",2022-10-12 12:58:25+00:00
InfoMigrants,"Germany is struggling to accommodate a rising number of asylum seekers. 

State interior ministers are under growing pressure to avert a ""refugee crisis"". 

What are the main points of concern and how will they be addressed?

https://t.co/tdDUXax0l3",2022-10-12 12:14:00+00:00
InfoMigrants,"As of the end of September, some 171,540 Ukrainian refugees have arrived in Italy due to the ongoing war. 

Italy's civil protection has allocated an additional €40 million to increase the availability of municipal services.

https://t.co/MjeXFS9vag",2022-10-12 11:14:00+00:00
InfoMigrants,"The EU has extended a directive on the temporary protection of Ukrainian refugees until March 2024, and has launched a pilot platform (""EU Talent Pool"") to help Ukrainians to find employment in member states. 

https://t.co/jI20Unf5W2",2022-10-12 09:55:00+00:00
InfoMigrants,"After videos surfaced of protesters in eastern Germany berating Ukrainian refugees, the mayor of Leipzig decried the images from the scene as ""unbearable.""

https://t.co/5NSBld2V1s",2022-10-12 08:28:00+00:00
InfoMigrants,"📷 The former German Chancellor Angela Merkel was awarded the UNHCR Nansen Refugee Award on Monday.

Merkel dedicated her award to the thousands of people who volunteered to welcome refugees in 2015 when Germany took in over one million people fleeing war, many from Syria. https://t.co/x5EAVI7Vzx",2022-10-12 07:15:00+00:00
InfoMigrants,"Austria has recently taken steps to tighten its asylum and migration policy, and its tone has become increasingly hostile to migrants. The Interior Minister Gerhard Karner has insisted that the country's asylum system is ""nearing breaking point.""

https://t.co/E6PCqedBqL",2022-10-11 15:12:00+00:00
InfoMigrants,"UNHCR and IOM in Greece invoked the European Union to create ""safe pathways"" in European waterways in the wake of two shipwreck tragedies in Greece.

https://t.co/JB0f2CfzZs",2022-10-11 14:00:00+00:00
InfoMigrants,"📷 A Spanish coast guard vessel transported 23 migrants to the port of Arguineguin on the island of Gran Canaria on Monday (October 10), the Red Cross said, according to Reuters.

The migrants were rescued as they traveled in a dinghy 40 miles south of the island, officials said. https://t.co/gB2o6nCRpc",2022-10-11 12:44:00+00:00
InfoMigrants,"Three Maltese police officers have been accused of abduction and violence against migrants during operations to fight irregular immigration at the beginning of September. A judge refused to release the three on bail and indicted them.

https://t.co/oX8yln05hv",2022-10-11 11:33:00+00:00
InfoMigrants,"The bodies of eight people were found off the coast of the southern Tunisian town of Zarzis on Monday. 

An aid official said they were probably migrants who had been traveling in a boat that left on September 21.

https://t.co/CoZfdXfQW7",2022-10-11 09:54:00+00:00
InfoMigrants,"A little over 45% of agricultural workers in Italy are in ""irregular"" work situations, a study shows. This puts them at risk of exploitation. 

Authorities in Sicily are trying to tackle the problem through several initiatives.

https://t.co/S7erhb6wam",2022-10-11 08:33:23+00:00
InfoMigrants,"RT @Refugees: ✨ Inspiring work ✨
💙 Incredible speeches 💙
👏 Amazing performances 👏

This year’s UNHCR #NansenAward ceremony honoured former…",2022-10-10 23:50:48+00:00
InfoMigrants,"Less than 20% of the 150,000 Ukrainian refugees in Italy are housed in public accommodation depite a ministerial decree that includes the provision of access to protection and shelter.

That's according to a new statistics dossier.

https://t.co/dM2JcSK9Lh",2022-10-10 15:12:00+00:00
InfoMigrants,"More than 1,000 people on board 25 small boats were detected in the English Channel by UK authorities on Sunday. 

367 others were rescued from the Strait of Pas-de-Calais and returned to France.

https://t.co/9RljCL7bSt",2022-10-10 14:33:00+00:00
InfoMigrants,"📷 Relatives of migrants missing in a shipwreck stand at a cliff at the Greek island of Kythira where a sailboat carrying some 95 migrants crashed and sank on October 5.

The death toll has climbed to at least 11, the Greek coast guard said on Saturday. https://t.co/RLEQdDgfnE",2022-10-10 13:33:04+00:00
InfoMigrants,"Pope Francis on Sunday made one of the strongest statements yet in support of migrants. 

Departing from his prepared script, he criticized Europe’s treatment of migrants, saying it was ""sinful"" and ""criminal"".

https://t.co/MlMfE7MM0j",2022-10-10 12:12:00+00:00
InfoMigrants,"Over the last ten years the Campobello migrant camp in Sicily has become an ""unsanitary no man's land"". About 1,200 migrant workers come there every year for the olive harvest.

Regional authorities say it is so dangerous, even the police don't go there. 

https://t.co/zgkky19Euy",2022-10-10 11:00:02+00:00
InfoMigrants,"After at least 23 migrants died in shipwrecks in Greek waters last week, Greece has called on Turkey to block all boat departures.

""I urgently call on Turkey to act immediately to impede all illegal boat departures,"" the migration minister said.

https://t.co/rX14MTH2lb",2022-10-10 09:55:00+00:00
InfoMigrants,"The bodies of 15 people were found on a beach near the city of Sabratha in Libya on Friday, most of them burned inside a charred boat. 

The UN mission in Libya has condemned the killing and accused migrant smugglers.

https://t.co/JqItCcPI1X",2022-10-10 08:50:05+00:00
InfoMigrants,"This week, former German Chancellor Angela Merkel was honored with the UN refugee agency's highest award for her efforts to welcome more than 1 million people to Germany in 2015 and 2016.
https://t.co/kqPB1wPrmf",2022-10-09 16:14:00+00:00
InfoMigrants,"Rwanda has crafted an image for itself as the country of reception preferred by refugees from all over the world.

In contrast to the laudatory articles by a padlocked local press, the reality of asylum seekers on the ground is far bleaker than it seems...
https://t.co/EHKwC8mN1a",2022-10-09 13:42:00+00:00
InfoMigrants,"Randa, Sherihan, Nurhan, Christina.  

One survivor has tattooed the names of her daughters on her arm, with hearts at the beginning and end. 

Their little bodies were never found after the deadly shipwreck of Lampedusa nine years ago.  
https://t.co/W3X09Nlzci",2022-10-09 10:34:00+00:00
InfoMigrants,"Thousands of asylum seekers entered Lithuania through Belarus last winter. 

Many still remain in detention with little contact with the outside world. 

Some of them have turned to art to cope. These are their stories.
https://t.co/qy2nusZLhG",2022-10-09 08:14:00+00:00
InfoMigrants,"Thousands of Yazidis suffered a gruesome fate at the hands of the IS terror militia in 2014. Survivors were often deeply traumatized. 

Since then, over 1,000 Yazidis have found refuge in Germany.

We spoke with two of them.
https://t.co/7isfLVKa48",2022-10-08 15:08:00+00:00
InfoMigrants,"Milan currently hosts 1,200 unaccompanied minors, that's close to 10% of all registered unaccompanied minors in Italy.

We talked to the city's deputy mayor about who these young migrants are, and what the city is doing to receive and integrate them. 

https://t.co/JxRrLPvKeo",2022-10-08 13:12:00+00:00
InfoMigrants,"Balkan countries are stepping up border controls in an attempt to stem irregular migration. 

An increasing number of migrants have been trying to cross through the Balkans since this summer.

What accounts for this phenomenon?

Here are some explanations:
https://t.co/eN7nygQVTp",2022-10-08 10:18:00+00:00
InfoMigrants,"In the southern Italian city of Palermo, the Centro Penc offers a safe space and support to migrant women and girls. 

We spoke with Deborah and Mimi, two cultural mediators working at the center. 
https://t.co/rLFCKmBV4w",2022-10-08 08:01:00+00:00
InfoMigrants,"📷 Rescued migrants - most of them from Afghanistan - find shelter at an old school building, following a shipwreck, on the island of Kythira, Greece, October 5, 2022.

Photo: REUTERS/Stamatina Tamvaki https://t.co/9gZxYPTO2S",2022-10-07 16:29:00+00:00
InfoMigrants,"Germany’s interior minister Nancy Faeser has called for a national stop to expulsions to Iran because of a violent crackdown on protests there.

One of Germany's 16 states has already announced it would stop deporting people there.

https://t.co/iLsOrZu6SY",2022-10-07 15:13:00+00:00
InfoMigrants,"Humanitarian corridors have brought new groups of refugees to Italy and Belgium this week. 

The refugees before had spent long time periods in camps in Cyprus and Lebanon.

The corridors project is carried out by the Sant' Egidio Community.

https://t.co/OTQmZe3R0A",2022-10-07 14:33:00+00:00
InfoMigrants,"📷 Bodies were seen floating amid splintered wreckage in the waters off the Greek island Kythira on Thursday after a sailboat carrying ~95 migrants struck rocks in the night and sank. 

The death toll of this and a 2nd boatwreck off Lesbos has climbed to 23, officials said Friday https://t.co/kGAk4UdUnC",2022-10-07 13:30:00+00:00
InfoMigrants,"In the impoverished region of Calabria, in the far south of 🇮🇹, migrant boats are landing with increasing frequency. They come from Libya, but also from Turkey and Lebanon. 

In the small town of Crotone, authorities are reaching out to the newcomers.

https://t.co/MpqfzUEb5t",2022-10-07 12:36:00+00:00
